City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Bredasdorp,ZA,-34.5322,20.0403,40.32,93,99,3.44,overcast clouds,2021-07-23 02:44:40
60,Kampot,KH,10.6167,104.1833,84.25,67,96,14.32,overcast clouds,2021-07-23 02:44:40
61,Bogande,BF,12.9714,-0.1436,81.28,61,88,12.55,overcast clouds,2021-07-23 02:44:41
62,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,47,0,17.27,clear sky,2021-07-23 02:44:41
63,Nouakchott,MR,18.0858,-15.9785,73.33,77,1,17.87,clear sky,2021-07-23 02:44:41
64,Wagar,SD,16.1525,36.2032,76.3,71,59,14.72,broken clouds,2021-07-23 02:44:42
65,Gizo,SB,-8.103,156.8419,83.82,72,14,5.32,few clouds,2021-07-23 02:44:42
66,Valparaiso,CL,-33.0393,-71.6273,53.47,84,90,5.75,haze,2021-07-23 02:42:15
67,Asau,RO,46.4333,26.4,58.75,91,13,4.21,few clouds,2021-07-23 02:44:42
68,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,100,90,17.27,overcast clouds,2021-07-23 02:44:43
69,Santa Rosa,PH,14.3122,121.1114,83.1,83,100,14.79,light rain,2021-07-23 02:44:43
70,Taltal,CL,-25.4,-70.4833,56.71,74,19,3.29,few clouds,2021-07-23 02:40:17
71,Salym,RU,60.0625,71.4789,75.76,65,10,12.95,clear sky,2021-07-23 02:44:43
72,Puri,IN,19.8,85.85,85.37,95,100,13.47,heavy intensity rain,2021-07-23 02:44:44
73,Iskateley,RU,67.6803,53.1512,48.52,89,100,9.1,overcast clouds,2021-07-23 02:44:44
74,Kyshtovka,RU,56.555,76.6271,71.47,71,0,6.87,clear sky,2021-07-23 02:44:44
75,Matara,LK,5.9485,80.5353,80.17,87,100,15.08,overcast clouds,2021-07-23 02:44:34
76,Albany,US,42.6001,-73.9662,68.65,69,98,4.0,overcast clouds,2021-07-23 02:44:44
77,Angoche,MZ,-16.2325,39.9086,71.58,85,85,4.32,overcast clouds,2021-07-23 02:44:45
