City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Chumikan,RU,82.72,broken clouds,54.7183,135.315,Fortuna
202,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
205,Xam Nua,LA,77.85,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
207,Bakel,SN,83.55,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
210,Marzuq,YE,76.53,clear sky,14.4,46.4667,
211,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
213,Astana,KZ,75.15,clear sky,51.1801,71.446,King Hotel Astana
214,Gilgit,PK,80.02,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
218,Meridian,US,85.05,haze,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
221,Alexander City,US,75.38,clear sky,32.944,-85.9539,Hampton Inn Alexander City
222,Mbaiki,CF,71.51,overcast clouds,3.8678,17.9892,
223,Poum,NC,72.36,clear sky,-20.2333,164.0167,Gîte kajeon
226,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
227,Melendugno,IT,76.66,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
228,Kavaratti,IN,82.56,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
230,Rayevskiy,RU,80.47,few clouds,54.0658,54.9468,Gostinitsa
232,Tecoanapa,MX,77.11,broken clouds,16.5167,-98.75,Hotel Manglares
234,Aktanysh,RU,77.22,moderate rain,55.7216,54.0829,"Gostinitsa ""Aktanysh"""
239,Xingcheng,CN,82.02,overcast clouds,40.6167,120.7167,New Century Hotel
241,Laguna,US,86.5,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
243,Cananea,MX,77.76,few clouds,30.95,-110.3,Casas Montoya
246,Jizan,SA,81.54,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
247,Nam Phong,TH,88.12,overcast clouds,16.7023,102.8557,Koon Garden Resort
250,Gornopravdinsk,RU,73.81,scattered clouds,60.05,69.9,Burovik
251,Dingle,PH,86.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
